device,mac,connection,device_name
Sensor_Luminosidade,18:b4:30:0f:a8:f3,Wireless,Fake25
Laptop,18:b7:9e:91:a2:20,Wireless,Fake26
Sensor_Luminosidade,50:c7:bf:8d:d6:aa,Wireless,Fake27
TV_Smart,08:21:ef:00:95:e8,Wireless,Fake28
Sensor_Luminosidade,70:ee:50:0c:39:50,Wireless,Fake29
IPhone,ec:1a:59:4a:ae:fe,Wireless,Fake30
Sensor_Movimento,44:65:0d:2c:ec:58,Wireless,Fake0
Sensor_Movimento,00:24:e4:33:22:3a,Wireless,Fake1
Sensor,74:6a:89:dd:1b:f2,Wireless,Fake2
Sensor_Movimento,d0:73:d5:31:02:a7,Wireless,Fake3
IPhone,70:ee:50:d8:05:35,Wireless,Fake4
Windows_Phone,f4:f2:6d:72:d6:27,Wireless,Fake5
Camera,00:16:6c:f2:12:f1,Wireless,Fake6
MacBook,30:8c:fb:76:47:57,Wireless,Fake7
Sensor,00:62:6e:1e:97:0d,Wireless,Fake8
Smartphone,30:8c:fb:c0:cb:db,Wireless,Fake9
Laptop,d0:52:a8:89:44:f7,Wireless,Fake10
IPhone,e8:ab:fa:1b:7c:7d,Wireless,Fake11
XBox,00:24:e4:e8:cd:92,Wireless,Fake12
Dropcam,14:cc:20:bb:f3:4a,Wireless,Fake13
Sensor_Luminosidade,74:c6:3b:a5:87:7d,Wireless,Fake14
Samsung_SmartCam,74:2f:68:78:ec:10,Wireless,Fake15
Playstation,ac:bc:32:8f:ef:20,Wireless,Fake16
IPhone,f4:5c:89:5a:42:25,Wireless,Fake17
Camera,ec:1a:59:65:08:45,Wireless,Fake18
XBox,40:f3:08:2f:a0:0c,Wireless,Fake19
IPhone,b4:ce:f6:25:db:f4,Wireless,Fake20
MacBook,d0:a6:37:97:67:da,Wireless,Fake21
Windows_Phone,e0:76:d0:1e:dc:ee,Wireless,Fake22
Dropcam,70:5a:0f:5a:34:c5,Wireless,Fake23
Camera,00:24:e4:c6:cb:d0,Wireless,Fake24
Dropcam,18:b4:30:10:b6:98,Wireless,Fake25
EchoDot,18:b7:9e:91:90:bc,Wireless,Fake26
IPhone,50:c7:bf:96:d2:9c,Wireless,Fake27
TV_Smart,08:21:ef:21:9f:63,Wireless,Fake28
Android_Phone,70:ee:50:5a:5d:bc,Wireless,Fake29
Samsung_SmartCam,ec:1a:59:66:8e:12,Wireless,Fake30
Camera,44:65:0d:0f:10:34,Wireless,Fake0
Samsung_SmartCam,00:24:e4:69:7b:3d,Wireless,Fake1
Camera,74:6a:89:a8:5c:d9,Wireless,Fake2
EchoDot,d0:73:d5:8d:32:7c,Wireless,Fake3
Sensor_Luminosidade,70:ee:50:61:66:0d,Wireless,Fake4
Videogame,f4:f2:6d:4d:16:03,Wireless,Fake5
MacBook,00:16:6c:71:25:6d,Wireless,Fake6
Dropcam,30:8c:fb:aa:64:f4,Wireless,Fake7
Smartphone,00:62:6e:90:db:d4,Wireless,Fake8
Camera,30:8c:fb:51:76:18,Wireless,Fake9
Playstation,d0:52:a8:3f:93:4f,Wireless,Fake10
TV_Smart,e8:ab:fa:86:6f:31,Wireless,Fake11
TV_Smart,00:24:e4:dc:c6:63,Wireless,Fake12
IPhone,14:cc:20:ef:e4:02,Wireless,Fake13
Sensor_Luminosidade,74:c6:3b:7b:e6:fe,Wireless,Fake14
Camera,74:2f:68:80:27:6c,Wireless,Fake15
Sensor,ac:bc:32:62:24:98,Wireless,Fake16
EchoDot,f4:5c:89:a7:d6:23,Wireless,Fake17
XBox,ec:1a:59:61:0a:0d,Wireless,Fake18
Camera,40:f3:08:e9:48:f8,Wireless,Fake19
Camera,b4:ce:f6:af:48:11,Wireless,Fake20
TV_Smart,d0:a6:37:c2:42:78,Wireless,Fake21
Windows_Phone,e0:76:d0:ab:27:25,Wireless,Fake22
TV_Smart,70:5a:0f:c1:82:e9,Wireless,Fake23
EchoDot,00:24:e4:65:25:37,Wireless,Fake24
MacBook,18:b4:30:83:98:7f,Wireless,Fake25
IPhone,18:b7:9e:1d:ba:31,Wireless,Fake26
Camera,50:c7:bf:e2:2d:af,Wireless,Fake27
Sensor_Luminosidade,08:21:ef:d3:84:5a,Wireless,Fake28
TV_Smart,70:ee:50:d3:47:34,Wireless,Fake29
Sensor_Movimento,ec:1a:59:67:74:3a,Wireless,Fake30
XBox,44:65:0d:54:2c:a1,Wireless,Fake0
Laptop,00:24:e4:dd:d3:83,Wireless,Fake1
Camera,74:6a:89:a7:d8:89,Wireless,Fake2
Android_Phone,d0:73:d5:9d:32:5e,Wireless,Fake3
Playstation,70:ee:50:2d:9e:2a,Wireless,Fake4
Camera,f4:f2:6d:3a:ae:63,Wireless,Fake5
Sensor_Luminosidade,00:16:6c:9a:94:39,Wireless,Fake6
Camera,30:8c:fb:96:49:66,Wireless,Fake7
TV_Smart,00:62:6e:c5:3c:d6,Wireless,Fake8
XBox,30:8c:fb:b8:0a:8f,Wireless,Fake9
Windows_Phone,d0:52:a8:70:aa:c2,Wireless,Fake10
XBox,e8:ab:fa:bd:0a:bc,Wireless,Fake11
Smartphone,00:24:e4:2a:d9:96,Wireless,Fake12
Videogame,14:cc:20:76:0d:b8,Wireless,Fake13
MacBook,74:c6:3b:bf:55:c7,Wireless,Fake14
Sensor_Luminosidade,74:2f:68:f0:42:02,Wireless,Fake15
XBox,ac:bc:32:e0:1c:55,Wireless,Fake16
Camera,f4:5c:89:39:a5:42,Wireless,Fake17
Sensor_Movimento,ec:1a:59:d5:a1:e3,Wireless,Fake18
Dropcam,40:f3:08:03:4e:80,Wireless,Fake19
Playstation,b4:ce:f6:ef:bf:c6,Wireless,Fake20
Laptop,d0:a6:37:a1:a3:f5,Wireless,Fake21
Camera,e0:76:d0:ab:5e:c7,Wireless,Fake22
Sensor_Movimento,70:5a:0f:8b:37:52,Wireless,Fake23
Samsung_SmartCam,00:24:e4:47:31:03,Wireless,Fake24
IPhone,18:b4:30:5d:37:07,Wireless,Fake25
MacBook,18:b7:9e:cf:1f:2f,Wireless,Fake26
IPhone,50:c7:bf:cb:ba:d5,Wireless,Fake27
MacBook,08:21:ef:0b:ac:1c,Wireless,Fake28
TV_Smart,70:ee:50:9c:2c:d6,Wireless,Fake29
Smartphone,ec:1a:59:0c:bb:19,Wireless,Fake30
Android_Phone,44:65:0d:5d:cd:1c,Wireless,Fake0
IPhone,00:24:e4:d8:ca:0b,Wireless,Fake1
Android_Phone,74:6a:89:b2:30:e9,Wireless,Fake2
Samsung_SmartCam,d0:73:d5:91:3d:af,Wireless,Fake3
Playstation,70:ee:50:30:f3:e0,Wireless,Fake4
Videogame,f4:f2:6d:bb:b3:0c,Wireless,Fake5
Laptop,00:16:6c:06:b8:9c,Wireless,Fake6
Android_Phone,30:8c:fb:1f:1c:78,Wireless,Fake7
MacBook,00:62:6e:ba:76:f3,Wireless,Fake8
Sensor_Luminosidade,30:8c:fb:4d:16:cf,Wireless,Fake9
Windows_Phone,d0:52:a8:d5:44:16,Wireless,Fake10
Sensor,e8:ab:fa:02:d6:fd,Wireless,Fake11
IPhone,00:24:e4:dc:1a:30,Wireless,Fake12
Laptop,14:cc:20:4a:33:b8,Wireless,Fake13
EchoDot,74:c6:3b:f4:59:5b,Wireless,Fake14
Videogame,74:2f:68:9c:c8:f1,Wireless,Fake15
TV_Smart,ac:bc:32:89:88:fb,Wireless,Fake16
XBox,f4:5c:89:83:64:e0,Wireless,Fake17
Sensor_Movimento,ec:1a:59:0b:35:bf,Wireless,Fake18
EchoDot,40:f3:08:b1:6f:5b,Wireless,Fake19
Camera,b4:ce:f6:bd:76:53,Wireless,Fake20
Sensor_Luminosidade,d0:a6:37:6c:40:4f,Wireless,Fake21
Videogame,e0:76:d0:ad:44:6f,Wireless,Fake22
Sensor_Movimento,70:5a:0f:6e:5d:8c,Wireless,Fake23
Camera,00:24:e4:a8:ef:66,Wireless,Fake24
Laptop,18:b4:30:a5:09:8f,Wireless,Fake25
MacBook,18:b7:9e:8d:69:27,Wireless,Fake26
Playstation,50:c7:bf:53:c0:1e,Wireless,Fake27
Laptop,08:21:ef:1d:73:26,Wireless,Fake28
Playstation,70:ee:50:a0:73:12,Wireless,Fake29
Camera,ec:1a:59:a7:11:a4,Wireless,Fake30
